Class,Order,Family,Genus,Species,Common name,Female maturity (days),s,Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Maximum longevity (yrs),,Metabolic rate (W),Temperature (K),q1 - W,q2 - B,q3 - S,q1 - W,q2 - B,q3 - S,q4 - X
Aves,Apodiformes,Apodidae,Apus,apus,Swift,730,730,,,,,,,,37.6,21.1,0.4372,44.9,,0.103466976,0.638496291,0.258036733,,,,
Aves,Apodiformes,Apodidae,Apus,melba,Alpine swift,730,730,,,,,,,,102.7,26,,,,0.144838665,0.625800253,0.229361082,,,,
Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney swift,365,365,20,,4.5,1,,1.25,,22.8,15,,,,0.085695731,0.591535807,0.322768462,,,,
Aves,Apodiformes,Apodidae,Cypseloides,niger,Black swift,365,365,24,,1,1,,3.3,,45,16.1,,,,0.114529814,0.567105981,0.318364205,,,,
Aves,Apodiformes,Trochilidae,Amazilia,yucatanensis,Buff-bellied hummingbird,,,,,,,,,,3.9,11.2,,,,0.012100569,0.630652896,0.357246535,,,,
Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Black-chinned hummingbird,365,365,,,2,,,,,3,11.2,,,,0.000648683,0.646212703,0.353138613,,,,
Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,365,365,13,,2,2,,0.62,,3.1,9.1,0.07832,3.2,,0.004552796,0.597638753,0.397808451,,,,
Aves,Apodiformes,Trochilidae,Calothorax,lucifer,Lucifer hummingbird,,,15,,2,2,,,,3.3,4.1,,,,0.01677701,0.414885069,0.568337921,,,,
Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,365,365,16,,2,2,,,,4.4,8.5,0.1175,4.8,,0.020651037,0.561552164,0.4177968,,,,
Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's hummingbird,,,16,,2,1,,,,3.1,6,,,,0.009513271,0.504102512,0.486384217,,,,
Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed hummingbird,365,365,17,,2,,,,,3.3,8.8,,,,0.007680972,0.586402764,0.405916264,,,,
Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Magnificent hummingbird,365,365,14,,2,,,,,8.1,11,,,,0.044217524,0.583260399,0.372522078,,,,
Aves,Apodiformes,Trochilidae,Lampornis,clemenciae,Blue-throated hummingbird,365,,18,,2,2,,,,7.6,12,,,,0.040400145,0.606579173,0.353020682,,,,
Aves,Apodiformes,Trochilidae,Lamprolaima,rhami,Garnet-throated hummingbird,,,,,,,,,,7.8,8,,,,0.046362821,0.513983875,0.439653305,,,,
Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed hummingbird,365,365,16,,2,2,,0.4,,4.2,14,,,,0.01267777,0.676368908,0.310953321,,,,
Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,365,365,16,,2,1,,,,3.5,8.9,0.06853,3.8,,0.010114718,0.585450689,0.404434593,,,,
Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,365,365,15,,2,,,,,2.6,7,0.06853,3,,-1.11583E-17,0.549151331,0.450848669,,,,
Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,,,75,,1,,,325,,2600,35,4.029,2380,,0.282347675,0.500908615,0.21674371,,,,
Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great Indian hornbill,,,,,,,,,,2798.5,33.4,,,,0.28611628,0.48603728,0.22784644,,,,
Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,Grey-cheeked hornbill,,,,,,,,,,1250,31.8,,,,0.251522596,0.522810465,0.225666939,,,,
Aves,Bucerotiformes,Bucerotidae,Ceratogymna,atrata,African black-wattled hornbill,,,,,,,,,,1203.5,19.3,,,,0.255815019,0.412917815,0.331267166,,,,
Aves,Bucerotiformes,Bucorvidae,Bucorvus,leadbeateri,Southern ground hornbill,,,,,,,,,,3767.5,70,,,,0.290282005,0.634571158,0.075146837,,,,
Aves,Bucerotiformes,Upupidae,Upupa,epops,Eurasian hoopoe,365,365,,,,,,,,67.1,11.1,,,,0.136397277,0.45990059,0.403702133,,,,
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,carolinensis,Chuck-will's-widow,,,20,,2.5,1,,,,115,14.8,,,,0.156486843,0.492553934,0.350959223,,,,
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,europaeus,Eurasian nightjar,365,365,,,,,,,,67,11.9,,,,0.135503359,0.475617519,0.388879122,,,,
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,ruficollis,Red-necked nightjar,,,,,,,,,,68.5,13.2,,,,0.135235037,0.49758735,0.367177613,,,,
Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,vociferus,Whip-poor-will,,,19,,2,2,,5.4,,54,15,,,,0.123330754,0.540400674,0.336268572,,,,
Aves,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,Common nighthawk,,,19,,2,1,,5.95,,79.3,10,0.4421,72,,0.144931861,0.426557262,0.428510877,,,,
Aves,Casuariiformes,Casuariidae,Casuarius,bennetti,Westermann's cassowary,,,,,,,,,,35000,26,,,,0.399367537,0.279968983,0.32066348,,,,
Aves,Casuariiformes,Casuariidae,Casuarius,casuarius,Southern cassowary,,,,,,,,,,44000,30,,,,0.407651941,0.298533255,0.293814804,,,,
Aves,Casuariiformes,Casuariidae,Casuarius,unappendiculatus,Blyth's cassowary,,,,,,,,,,47300,22,,,,0.414502434,0.224593092,0.360904474,,,,
Aves,Casuariiformes,Dromaiidae,Dromaius,novaehollandiae,Emu,,,,,,,,,,38925,16.6,,,,0.409350618,0.172902799,0.417746583,,,,
Aves,Charadriiformes,Alcidae,Aethia,cristatella,Crested auklet,1095,1095,34,,1,1,,,,289,10.8,,,,0.200461426,0.367146308,0.432392266,,,,
Aves,Charadriiformes,Alcidae,Aethia,pusilla,Least auklet,1095,1095,30,,1,1,,,,96,8.1,,,,0.155783163,0.367901906,0.476314931,,,,
Aves,Charadriiformes,Alcidae,Aethia,pygmaea,Whiskered auklet,,1095,,,1,,,,,120,15,,,,0.158184658,0.493044279,0.348771063,,,,
Aves,Charadriiformes,Alcidae,Alca,torda,Razorbill,1460,1460,36,,1,1,,63.8,,726,42,,,,0.224492816,0.61751015,0.157997034,,,,
Aves,Charadriiformes,Alcidae,Brachyramphus,marmoratus,Marbled murrelet,730,730,,,,,,,,222,10,,,,0.18986565,0.365505212,0.444629138,,,,
Aves,Charadriiformes,Alcidae,Cepphus,columba,Pigeon guillemot,1095,1095,31,,2,,,43.7,,483.8,15.2,,,,0.218881194,0.413335342,0.367783464,,,,
Aves,Charadriiformes,Alcidae,Cepphus,grylle,Black guillemot,1095,1095,25,,2,1,,33,,427.5,29.9,,,,0.20542357,0.572607456,0.221968974,,,,
Aves,Charadriiformes,Alcidae,Cerorhinca,monocerata,Rhinoceros auklet,1095,1095,45,,1,1,,54.5,,544.1,28.2,,,,0.216647873,0.545158609,0.238193518,,,,
Aves,Charadriiformes,Alcidae,Fratercula,arctica,Atlantic puffin,1460,1460,42,,1,1,,39.7,,490.5,40.8,,,,0.207722268,0.634255852,0.15802188,,,,
Aves,Charadriiformes,Alcidae,Ptychoramphus,aleuticus,Cassin's auklet,730,730,,,,,,,,184,16.2,,,,0.175925511,0.484977277,0.339097212,,,,
Aves,Charadriiformes,Alcidae,Synthliboramphus,hypoleucus,Xantus' murrelet,730,730,34,,2,1,,24.8,,167,15,,,,0.172610677,0.473443483,0.35394584,,,,
